iter	Passed	Remaining
429	1634	2167
430	1639	2163
431	1642	2159
432	1646	2155
433	1649	2150
434	1654	2148
435	1657	2144
436	1660	2139
437	1664	2135
438	1667	2131
439	1671	2127
440	1674	2123
441	1678	2119
442	1682	2114
443	1686	2111
444	1689	2106
445	1692	2102
446	1696	2098
447	1699	2094
448	1703	2090
449	1706	2085
450	1710	2081
451	1714	2078
452	1717	2073
453	1721	2070
454	1725	2066
455	1728	2062
456	1732	2058
457	1735	2053
458	1739	2049
459	1742	2045
460	1746	2041
461	1749	2037
462	1753	2033
463	1756	2029
464	1761	2026
465	1764	2022
466	1768	2018
467	1772	2014
468	1776	2011
469	1780	2007
470	1783	2003
471	1787	1999
472	1790	1994
473	1794	1991
474	1797	1986
475	1800	1982
476	1805	1979
477	1808	1974
478	1812	1970
479	1815	1966
480	1818	1962
481	1821	1957
482	1825	1953
483	1828	1949
484	1832	1945
485	1835	1941
486	1838	1937
487	1842	1932
488	1845	1928
489	1848	1924
490	1852	1920
491	1855	1915
492	1858	1911
493	1862	1907
494	1865	1903
495	1869	1899
496	1872	1895
497	1876	1891
498	1879	1887
499	1883	1883
500	1886	1879
501	1890	1875
502	1893	1871
503	1896	1866
504	1900	1863
505	1904	1859
506	1908	1855
507	1911	1851
508	1915	1847
509	1918	1843
510	1922	1839
511	1925	1835
512	1929	1831
513	1932	1827
514	1936	1823
515	1939	1819
516	1943	1815
517	1946	1811
518	1950	1807
519	1953	1803
520	1957	1799
521	1961	1795
522	1965	1792
523	1968	1788
524	1972	1784
525	1976	1780
526	1979	1776
527	1983	1772
528	1987	1769
529	1991	1766
530	1995	1762
531	1998	1758
532	2002	1754
533	2005	1750
534	2008	1745
535	2011	1741
536	2015	1738
537	2019	1733
538	2022	1729
539	2025	1725
540	2028	1721
541	2032	1717
542	2035	1713
543	2038	1709
544	2041	1704
545	2045	1700
546	2048	1696
547	2052	1692
548	2055	1688
549	2058	1684
550	2062	1680
551	2065	1676
552	2068	1671
553	2071	1667
554	2075	1663
555	2078	1659
556	2081	1655
557	2084	1651
558	2089	1648
559	2092	1644
560	2096	1640
561	2100	1636
562	2103	1632
563	2107	1629
564	2111	1625
565	2114	1621
566	2118	1617
567	2122	1614
568	2125	1610
569	2129	1606
570	2133	1602
571	2137	1599
572	2140	1595
573	2144	1591
574	2147	1587
575	2151	1583
576	2155	1579
577	2159	1576
578	2163	1572
579	2166	1568
580	2170	1565
581	2174	1561
582	2178	1558
583	2181	1554
584	2185	1550
585	2189	1546
586	2192	1542
587	2196	1538
588	2200	1535
589	2203	1531
590	2207	1527
591	2211	1523
592	2215	1520
593	2219	1516
594	2223	1513
595	2227	1509
596	2231	1506
597	2235	1503
598	2240	1499
599	2245	1496
600	2249	1493
601	2254	1490
602	2257	1486
603	2262	1483
604	2266	1479
605	2270	1475
606	2273	1472
607	2277	1468
608	2281	1464
609	2285	1461
610	2288	1457
611	2292	1453
612	2296	1449
613	2300	1446
614	2303	1442
615	2307	1438
616	2310	1434
617	2314	1430
618	2318	1426
619	2322	1423
620	2325	1419
621	2329	1415
622	2332	1411
623	2336	1407
624	2340	1404
625	2344	1400
626	2347	1396
627	2351	1392
628	2354	1388
629	2358	1385
630	2362	1381
631	2366	1378
632	2370	1374
633	2374	1370
634	2377	1366
635	2381	1362
636	2385	1359
637	2389	1355
638	2393	1352
639	2396	1348
640	2400	1344
641	2403	1340
642	2407	1336
643	2410	1332
644	2414	1329
645	2418	1325
646	2421	1321
647	2425	1317
648	2428	1313
649	2432	1309
